n_threads,n_matrix,iteration,checksym_time,transpose_time
1,32,1,4.9121e-05, 7.0617e-05
1,32,2,4.9325e-05, 7.106e-05
1,32,3,5.0111e-05, 7.0456e-05
1,32,4,4.9505e-05, 7.1215e-05
1,32,5,4.9314e-05, 7.1668e-05
1,32,6,4.9372e-05, 7.0588e-05
1,32,7,4.9451e-05, 7.0857e-05
1,32,8,5.033e-05, 7.081e-05
1,32,9,4.9124e-05, 7.0113e-05
1,32,10,4.9636e-05, 7.1019e-05
1,32,11,4.9583e-05, 7.0879e-05
1,32,12,4.9299e-05, 7.038e-05
1,32,13,5.7003e-05, 7.1457e-05
1,32,14,4.5284e-05, 6.4548e-05
1,32,15,4.9522e-05, 7.1072e-05
1,32,16,4.9512e-05, 7.0696e-05
1,32,17,5.0759e-05, 7.191e-05
1,32,18,4.9776e-05, 7.0713e-05
1,32,19,4.9343e-05, 7.1561e-05
1,32,20,4.951e-05, 7.0509e-05
1,32,21,4.9613e-05, 7.0081e-05
1,32,22,4.9286e-05, 7.1658e-05
1,32,23,5.8232e-05, 7.2181e-05
1,32,24,4.9836e-05, 7.0741e-05
1,32,25,5.0014e-05, 7.0996e-05
1,32,26,4.9729e-05, 7.0891e-05
1,32,27,4.1593e-05, 5.9372e-05
1,32,28,4.9694e-05, 7.0962e-05
1,32,29,4.9108e-05, 7.0436e-05
1,32,30,4.9573e-05, 7.2346e-05
1,32,31,4.8896e-05, 7.025e-05
1,32,32,4.4673e-05, 6.4122e-05
1,32,33,5.025e-05, 7.1231e-05
1,32,34,4.9598e-05, 7.0214e-05
1,32,35,4.9921e-05, 7.0962e-05
1,32,36,4.9483e-05, 7.111e-05
1,32,37,6.1528e-05, 7.0703e-05
1,32,38,4.9332e-05, 7.0894e-05
1,32,39,4.9555e-05, 7.0148e-05
1,32,40,4.9551e-05, 7.8808e-05
1,32,41,4.931e-05, 7.1679e-05
1,32,42,4.9327e-05, 8.2044e-05
1,32,43,4.9355e-05, 7.0661e-05
1,32,44,4.8934e-05, 8.2063e-05
1,32,45,4.9475e-05, 7.0394e-05
1,32,46,4.912e-05, 7.0974e-05
1,32,47,5.0255e-05, 7.0554e-05
1,32,48,4.9022e-05, 7.0304e-05
1,32,49,4.9048e-05, 7.2204e-05
1,32,50,4.921e-05, 7.0892e-05
1,32,51,4.944e-05, 7.0178e-05
1,32,52,4.9049e-05, 7.0883e-05
1,32,53,4.9386e-05, 7.2086e-05
1,32,54,4.9377e-05, 7.1366e-05
1,32,55,4.882e-05, 7.0428e-05
1,32,56,4.91e-05, 7.0409e-05
1,32,57,6.0239e-05, 7.1166e-05
1,32,58,4.8908e-05, 7.1886e-05
1,32,59,4.9636e-05, 7.1222e-05
1,32,60,5.0049e-05, 7.1356e-05
1,32,61,4.9606e-05, 7.2334e-05
