n_matrix,iteration,checksym_time,transpose_time
512,37,0.00160155,0.00599116
512,38,0.00157414,0.0060917
512,39,0.00159396,0.00557164
512,40,0.00240345,0.0200519
512,41,0.0022222,0.0180068
512,42,0.00142049,0.00330127
512,43,0.00247967,0.00414592
512,44,0.00262543,0.00392488
512,45,0.00258915,0.00929189
512,46,0.00251331,0.0201074
512,47,0.00245579,0.0170841
512,48,0.0024819,0.00394856
512,49,0.00159513,0.00411442
512,50,0.00241149,0.0173161
512,51,0.00156496,0.00639853
512,52,0.00172056,0.0173653
512,53,0.00187479,0.00409347
512,54,0.00162671,0.00401013
512,55,0.00248539,0.0060061
512,56,0.00246795,0.00530765
512,57,0.0016342,0.0043265
512,58,0.00271102,0.00891605
512,59,0.0159334,0.0042771
512,60,0.00263174,0.0172532
512,61,0.00253345,0.00409795
512,62,0.002381,0.0178778
512,63,0.00167185,0.00472926
512,64,0.00209655,0.020157
512,65,0.00266604,0.0208956
512,66,0.00197318,0.00507439
512,67,0.00252423,0.0178521
512,68,0.00258863,0.0175946
512,69,0.00546891,0.00746453
512,70,0.0026095,0.0174293
512,71,0.00251468,0.0172203
512,72,0.00257663,0.00394743
512,73,0.00244502,0.00924263
512,74,0.00261112,0.00418888
512,75,0.00249294,0.0173163
512,76,0.00224971,0.0040937
512,77,0.00157457,0.0041707
512,78,0.015172,0.00377333
512,79,0.00268176,0.0205018
512,80,0.0026389,0.0208582
512,81,0.00154133,0.00592206
512,82,0.00202873,0.00406373
512,83,0.00249722,0.00959374
512,84,0.00235327,0.00424449
512,85,0.00240813,0.00421485
512,86,0.00238562,0.00409342
512,87,0.00254079,0.0180066
512,88,0.0017624,0.00435326
512,89,0.00260668,0.0204496
512,90,0.00253104,0.0208108
512,91,0.00248149,0.0172651
512,92,0.00250379,0.0170651
512,93,0.00251734,0.0173813
512,94,0.00260649,0.0173037
512,95,0.00165001,0.00596089
512,96,0.00203998,0.0058767
512,97,0.00252501,0.00418363
512,98,0.00248203,0.00406775
512,99,0.00241483,0.00406548
512,100,0.0027924,0.00400335
1024,1,0.0115372,0.0278611
1024,2,0.0111708,0.022213
1024,3,0.0111583,0.0207292
1024,4,0.0251209,0.0503885
1024,5,0.0108445,0.0200798
1024,6,0.0257888,0.0700183
1024,7,0.0250866,0.0350727
1024,8,0.0109226,0.0195768
1024,9,0.0110881,0.0193279
1024,10,0.0106964,0.0202309
1024,11,0.0255898,0.0715659
1024,12,0.00916785,0.0201437
1024,13,0.0169745,0.0217075
1024,14,0.011151,0.021042
1024,15,0.0110198,0.0196849
1024,16,0.0110608,0.0196127
1024,17,0.0249617,0.0481256
1024,18,0.0261422,0.0471545
1024,19,0.0104982,0.0203302
1024,20,0.025546,0.0589738
1024,21,0.0114768,0.0236497
1024,22,0.0113717,0.0221854
1024,23,0.0124573,0.0304801
1024,24,0.0109751,0.020452
1024,25,0.0111517,0.0202741
1024,26,0.0251799,0.0489319
1024,27,0.0261009,0.0264153
1024,28,0.0117644,0.0314156
1024,29,0.0110854,0.0229007
1024,30,0.0109459,0.020108
1024,31,0.0119596,0.0213212
1024,32,0.0251047,0.0484403
1024,33,0.0109066,0.0195163
1024,34,0.0114325,0.0200125
